"name","id","accuracy","power","pp","priority","target","type","description","damageclass","generation"
"pound","1","100","40","35","0","selected-pokemon","normal","The target is physically pounded with a long tail, a
foreleg, or the like.","physical","generation-i"
"karate-chop","2","100","50","25","0","selected-pokemon","fighting","The target is attacked with a sharp chop. Critical
hits land more easily.","physical","generation-i"
"double-slap","3","85","15","10","0","selected-pokemon","normal","The target is slapped repeatedly, back and forth,
two to five times in a row.","physical","generation-i"
"comet-punch","4","85","18","15","0","selected-pokemon","normal","The target is hit with a flurry of punches that strike
two to five times in a row.","physical","generation-i"
"mega-punch","5","85","80","20","0","selected-pokemon","normal","The target is slugged by a punch thrown with
muscle-packed power.","physical","generation-i"
"pay-day","6","100","40","20","0","selected-pokemon","normal","Numerous coins are hurled at the target to inflict
damage. Money is earned after the battle.","physical","generation-i"
"fire-punch","7","100","75","15","0","selected-pokemon","fire","The target is punched with a fiery fist. This may also
leave the target with a burn.","physical","generation-i"
"ice-punch","8","100","75","15","0","selected-pokemon","ice","The target is punched with an icy fist. This may also
leave the target frozen.","physical","generation-i"
"thunder-punch","9","100","75","15","0","selected-pokemon","electric","The target is punched with an electrified fist.
This may also leave the target with paralysis.","physical","generation-i"
"scratch","10","100","40","35","0","selected-pokemon","normal","Hard, pointed, and sharp claws rake
the target to inflict damage.","physical","generation-i"
"vice-grip","11","100","55","30","0","selected-pokemon","normal","The target is gripped and squeezed from both sides
to inflict damage.","physical","generation-i"
"guillotine","12","30","","5","0","selected-pokemon","normal","A vicious, tearing attack with big pincers.
The target will faint instantly
if this attack hits.","physical","generation-i"
"razor-wind","13","100","80","10","0","all-opponents","normal","In this two-turn attack, blades of wind hit opposing
Pokémon on the second turn. Critical hits land
more easily.","special","generation-i"
"swords-dance","14","","","20","0","user","normal","A frenetic dance to uplift the fighting spirit.
This sharply raises the user’s Attack stat.","status","generation-i"
"cut","15","95","50","30","0","selected-pokemon","normal","The target is cut with a scythe or claw.
This can also be used to cut down thin trees.","physical","generation-i"
"gust","16","100","40","35","0","selected-pokemon","flying","A gust of wind is whipped up by wings and launched
at the target to inflict damage.","special","generation-i"
"wing-attack","17","100","60","35","0","selected-pokemon","flying","The target is struck with large, imposing wings
spread wide to inflict damage.","physical","generation-i"
"whirlwind","18","","","20","-6","selected-pokemon","normal","The target is blown away, and a different Pokémon is
dragged out. In the wild, this ends a battle against a
single Pokémon.","status","generation-i"
"fly","19","95","90","15","0","selected-pokemon","flying","The user soars, then strikes its target
on the second turn. It can also be
used for flying to any familiar town.","physical","generation-i"
"bind","20","85","15","20","0","selected-pokemon","normal","Things such as long bodies or tentacles are used to
bind and squeeze the target for four to five turns.","physical","generation-i"
"slam","21","75","80","20","0","selected-pokemon","normal","The target is slammed with a long tail, vines, or the
like to inflict damage.","physical","generation-i"
"vine-whip","22","100","45","25","0","selected-pokemon","grass","The target is struck with slender, whiplike vines to
inflict damage.","physical","generation-i"
"stomp","23","100","65","20","0","selected-pokemon","normal","The target is stomped with a big foot. This may also
make the target flinch.","physical","generation-i"
"double-kick","24","100","30","30","0","selected-pokemon","fighting","The target is quickly kicked twice in succession
using both feet.","physical","generation-i"
"mega-kick","25","75","120","5","0","selected-pokemon","normal","The target is attacked by a kick launched with
muscle-packed power.","physical","generation-i"
"jump-kick","26","95","100","10","0","selected-pokemon","fighting","The user jumps up high, then strikes with a kick.
If the kick misses, the user hurts itself.","physical","generation-i"
"rolling-kick","27","85","60","15","0","selected-pokemon","fighting","The user lashes out with a quick, spinning kick.
This may also make the target flinch.","physical","generation-i"
"sand-attack","28","100","","15","0","selected-pokemon","ground","Sand is hurled in the target’s face, reducing the
target’s accuracy.","status","generation-i"
"headbutt","29","100","70","15","0","selected-pokemon","normal","The user sticks out its head and attacks by charging
straight into the target. This may also make the
target flinch.","physical","generation-i"
"horn-attack","30","100","65","25","0","selected-pokemon","normal","The target is jabbed with a sharply pointed horn to
inflict damage.","physical","generation-i"
"fury-attack","31","85","15","20","0","selected-pokemon","normal","The target is jabbed repeatedly with a horn or beak
two to five times in a row.","physical","generation-i"
"horn-drill","32","30","","5","0","selected-pokemon","normal","The user stabs the target with a horn that rotates
like a drill. The target faints instantly if this
attack hits.","physical","generation-i"
"tackle","33","100","40","35","0","selected-pokemon","normal","A physical attack in which the user charges and
slams into the target with its whole body.","physical","generation-i"
"body-slam","34","100","85","15","0","selected-pokemon","normal","The user drops onto the target with its full body
weight. This may also leave the target with paralysis.","physical","generation-i"
"wrap","35","90","15","20","0","selected-pokemon","normal","A long body, vines, or the like are used to wrap and 
squeeze the target for four to five turns.","physical","generation-i"
"take-down","36","85","90","20","0","selected-pokemon","normal","A reckless, full-body charge attack for slamming into
the target. This also damages the user a little.","physical","generation-i"
"thrash","37","100","120","10","0","random-opponent","normal","The user rampages and attacks for two
to three turns. It then becomes
confused, however.","physical","generation-i"
"double-edge","38","100","120","15","0","selected-pokemon","normal","A reckless, life-
risking tackle.
It also damages the
user by a fairly large
amount, however.","physical","generation-i"
"tail-whip","39","100","","30","0","all-opponents","normal","The user wags its tail cutely, making opposing
Pokémon less wary and lowering their Defense stat.","status","generation-i"
"poison-sting","40","100","15","35","0","selected-pokemon","poison","The foe is stabbed
with a poisonous
barb of some sort.
It may also poison
the target.","physical","generation-i"
"twineedle","41","100","25","20","0","selected-pokemon","bug","The user damages the target twice in succession
by jabbing it with two spikes. This may also poison
the target.","physical","generation-i"
"pin-missile","42","95","25","20","0","selected-pokemon","bug","Sharp spikes are shot at the target in rapid
succession. They hit two to five times in a row.","physical","generation-i"
"leer","43","100","","30","0","all-opponents","normal","The opposing team gains an intimidating
leer with sharp eyes. The opposing team’s
Defense stats are reduced.","status","generation-i"
"bite","44","100","60","25","0","selected-pokemon","dark","The target is bitten with viciously sharp fangs.
This may also make the target flinch.","physical","generation-i"
"growl","45","100","","40","0","all-opponents","normal","The user growls in an endearing way,
making the opposing team less wary.
The foes’ Attack stats are lowered.","status","generation-i"
