"name","number","description","height","weight","types","abilities","evolution","legendary","mythical","baby","capture","habitat","generation","sprite","shiny"
"bulbasaur","1","While it is young, it uses the nutrients that are
stored in the seed on its back in order to grow.","7","69","grass|poison","overgrow|chlorophyll","bulbasaur|ivysaur|venusaur","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/bulbasaur.gif","https://projectpokemon.org/images/shiny-sprite/bulbasaur.gif"
"ivysaur","2","Exposure to sunlight adds to its strength.
Sunlight also makes the bud on its back
grow larger.","10","130","grass|poison","overgrow|chlorophyll","bulbasaur|ivysaur|venusaur","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/ivysaur.gif","https://projectpokemon.org/images/shiny-sprite/ivysaur.gif"
"venusaur","3","Huge amounts of pollen burst from it with the
force of a volcanic eruption. Breathing in too
much of the pollen can cause fainting.","20","1000","grass|poison","overgrow|chlorophyll","bulbasaur|ivysaur|venusaur","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/venusaur.gif","https://projectpokemon.org/images/shiny-sprite/venusaur.gif"
"charmander","4","From the time it is born, a flame burns at the tip
of its tail. Its life would end if the flame were to
go out.","6","85","fire","blaze|solar-power","charmander|charmeleon|charizard","False","False","False","45","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/charmander.gif","https://projectpokemon.org/images/shiny-sprite/charmander.gif"
"charmeleon","5","If it becomes agitated during battle, it spouts
intense flames, incinerating its surroundings.","11","190","fire","blaze|solar-power","charmander|charmeleon|charizard","False","False","False","45","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/charmeleon.gif","https://projectpokemon.org/images/shiny-sprite/charmeleon.gif"
"charizard","6","The flame inside its body burns hotter than
3,600 degrees Fahrenheit. When Charizard
roars, that temperature climbs even higher.","17","905","fire|flying","blaze|solar-power","charmander|charmeleon|charizard","False","False","False","45","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/charizard.gif","https://projectpokemon.org/images/shiny-sprite/charizard.gif"
"squirtle","7","When it feels threatened, it draws its limbs inside
its shell and sprays water from its mouth.","5","90","water","torrent|rain-dish","squirtle|wartortle|blastoise","False","False","False","45","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/squirtle.gif","https://projectpokemon.org/images/shiny-sprite/squirtle.gif"
"wartortle","8","It cleverly controls its furry ears and tail to
maintain its balance while swimming.","10","225","water","torrent|rain-dish","squirtle|wartortle|blastoise","False","False","False","45","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/wartortle.gif","https://projectpokemon.org/images/shiny-sprite/wartortle.gif"
"blastoise","9","Water fired from this Pokémon’s central main
cannon has enough power to blast a hole into
a mountain.","16","855","water","torrent|rain-dish","squirtle|wartortle|blastoise","False","False","False","45","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/blastoise.gif","https://projectpokemon.org/images/shiny-sprite/blastoise.gif"
"caterpie","10","Its short feet are tipped with suction pads that
enable it to tirelessly climb slopes and walls.","3","29","bug","shield-dust|run-away","caterpie|metapod|butterfree","False","False","False","255","forest","generation-i","https://projectpokemon.org/images/normal-sprite/caterpie.gif","https://projectpokemon.org/images/shiny-sprite/caterpie.gif"
"metapod","11","Even though it is encased in a sturdy shell,
the body inside is tender. It can’t withstand a
harsh attack.","7","99","bug","shed-skin","caterpie|metapod|butterfree","False","False","False","120","forest","generation-i","https://projectpokemon.org/images/normal-sprite/metapod.gif","https://projectpokemon.org/images/shiny-sprite/metapod.gif"
"butterfree","12","Once it has opponents trapped in a tornado that
could blow away a 10-ton truck, it finishes them
off with its poisonous scales.","11","320","bug|flying","compound-eyes|tinted-lens","caterpie|metapod|butterfree","False","False","False","45","forest","generation-i","https://projectpokemon.org/images/normal-sprite/butterfree.gif","https://projectpokemon.org/images/shiny-sprite/butterfree.gif"
"weedle","13","Beware of the sharp stinger on its head. It hides
in grass and bushes where it eats leaves.","3","32","bug|poison","shield-dust|run-away","weedle|kakuna|beedrill","False","False","False","255","forest","generation-i","https://projectpokemon.org/images/normal-sprite/weedle.gif","https://projectpokemon.org/images/shiny-sprite/weedle.gif"
"kakuna","14","Able to move only slightly. When endangered, it
may stick out its stinger and poison its enemy.","6","100","bug|poison","shed-skin","weedle|kakuna|beedrill","False","False","False","120","forest","generation-i","https://projectpokemon.org/images/normal-sprite/kakuna.gif","https://projectpokemon.org/images/shiny-sprite/kakuna.gif"
"beedrill","15","Its legs have become poison stingers. It stabs its
prey repeatedly with the stingers on its limbs,
dealing the final blow with the stinger on its rear.","10","295","bug|poison","swarm|sniper","weedle|kakuna|beedrill","False","False","False","45","forest","generation-i","https://projectpokemon.org/images/normal-sprite/beedrill.gif","https://projectpokemon.org/images/shiny-sprite/beedrill.gif"
"pidgey","16","Very docile. If attacked, it will often kick up
sand to protect itself rather than fight back.","3","18","normal|flying","keen-eye|tangled-feet|big-pecks","pidgey|pidgeotto|pidgeot","False","False","False","255","forest","generation-i","https://projectpokemon.org/images/normal-sprite/pidgey.gif","https://projectpokemon.org/images/shiny-sprite/pidgey.gif"
"pidgeotto","17","This Pokémon is full of vitality. It constantly flies
around its large territory in search of prey.","11","300","normal|flying","keen-eye|tangled-feet|big-pecks","pidgey|pidgeotto|pidgeot","False","False","False","120","forest","generation-i","https://projectpokemon.org/images/normal-sprite/pidgeotto.gif","https://projectpokemon.org/images/shiny-sprite/pidgeotto.gif"
"pidgeot","18","With its muscular strength now greatly
increased, it can fly continuously for two weeks
without resting.","15","395","normal|flying","keen-eye|tangled-feet|big-pecks","pidgey|pidgeotto|pidgeot","False","False","False","45","forest","generation-i","https://projectpokemon.org/images/normal-sprite/pidgeot.gif","https://projectpokemon.org/images/shiny-sprite/pidgeot.gif"
"rattata","19","Will chew on anything with its fangs. If you
see one, you can be certain that 40 more
live in the area.","3","35","normal","run-away|guts|hustle","rattata|raticate","False","False","False","255","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/rattata.gif","https://projectpokemon.org/images/shiny-sprite/rattata.gif"
"raticate","20","Its hind feet are webbed. They act as flippers,
so it can swim in rivers and hunt for prey.","7","185","normal","run-away|guts|hustle","rattata|raticate","False","False","False","127","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/raticate.gif","https://projectpokemon.org/images/shiny-sprite/raticate.gif"
"spearow","21","Inept at flying high. However, it can fly around
very fast to protect its territory.","3","20","normal|flying","keen-eye|sniper","spearow|fearow","False","False","False","255","rough-terrain","generation-i","https://projectpokemon.org/images/normal-sprite/spearow.gif","https://projectpokemon.org/images/shiny-sprite/spearow.gif"
"fearow","22","A Pokémon that dates back many years. If it
senses danger, it flies high and away, instantly.","12","380","normal|flying","keen-eye|sniper","spearow|fearow","False","False","False","90","rough-terrain","generation-i","https://projectpokemon.org/images/normal-sprite/fearow.gif","https://projectpokemon.org/images/shiny-sprite/fearow.gif"
"ekans","23","The older it gets, the longer it grows. At night, it
wraps its long body around tree branches to rest.","20","69","poison","intimidate|shed-skin|unnerve","ekans|arbok","False","False","False","255","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/ekans.gif","https://projectpokemon.org/images/shiny-sprite/ekans.gif"
"arbok","24","The frightening patterns on its belly have been
studied. Six variations have been confirmed.","35","650","poison","intimidate|shed-skin|unnerve","ekans|arbok","False","False","False","90","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/arbok.gif","https://projectpokemon.org/images/shiny-sprite/arbok.gif"
